epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4857,4.18794,5.02442,2.7873,0.04412,0.04412,0.02359,0.00311,3.32237,3.82831,2.47104,4e-05,4e-05,0.09204
2,45.7543,3.40167,2.92332,2.40344,0.16176,0.16176,0.09752,0.02356,2.70968,2.97686,1.99846,8.49856e-05,8.49856e-05,0.083085
3,66.3718,3.16862,2.39784,2.33888,0.02703,0.01471,0.01393,0.00557,3.19143,4.43666,2.02671,0.000129912,0.000129912,0.0741299
4,87.0351,3.01036,1.84302,2.22474,0.66667,0.02941,0.35147,0.05306,3.03301,5.01546,2.06403,0.000174733,0.000174733,0.0651747
5,107.576,2.78835,1.69558,2.06716,0.88525,0.79412,0.86715,0.25752,2.81163,3.5287,1.95402,0.000219403,0.000219403,0.0562194
6,130.137,2.64652,1.56186,1.79107,0.85938,0.80882,0.81815,0.25797,2.61854,3.09176,1.87345,0.000263878,0.000263878,0.0472639
7,150.426,2.42616,1.4722,1.58544,0.42647,0.42647,0.35294,0.11453,2.49638,2.53388,1.75343,0.000308111,0.000308111,0.0383081
8,168.36,2.27889,1.44701,1.45901,0.66176,0.66176,0.65922,0.17821,2.23617,1.86704,1.45344,0.000352057,0.000352057,0.0293521
9,184.064,2.11084,1.35511,1.3751,0.96993,0.95588,0.94816,0.35709,2.04014,1.33785,1.28301,0.000395673,0.000395673,0.0203957
10,200.012,2.10311,1.35744,1.34243,1,1,0.995,0.51187,1.81718,1.16478,1.22968,0.000438914,0.000438914,0.0114389
11,215.657,2.02161,1.29753,1.32879,1,1,0.995,0.52386,1.7845,1.03981,1.17919,0.000481735,0.000481735,0.00248174
12,231.417,1.89531,1.21219,1.25798,0.98529,0.98529,0.98523,0.58226,1.64429,1.03151,1.12099,0.000489808,0.000489808,0.000489808
13,247.128,1.81826,1.17456,1.20984,0.98529,0.98529,0.98655,0.59447,1.53052,0.9415,1.08413,0.000487886,0.000487886,0.000487886
14,263.058,1.8024,1.11827,1.18219,0.97059,0.97059,0.98029,0.55704,1.47464,0.96048,1.08729,0.000485804,0.000485804,0.000485804
15,278.771,1.67039,1.07425,1.11672,0.99523,0.98529,0.9917,0.57778,1.51975,1.06945,1.08679,0.000483561,0.000483561,0.000483561
16,294.657,1.65878,1.03994,1.12732,1,1,0.995,0.60441,1.51965,1.06768,1.08684,0.00048116,0.00048116,0.00048116
17,310.398,1.63319,1.00369,1.12595,1,1,0.995,0.63401,1.4288,1.10382,1.08104,0.000478603,0.000478603,0.000478603
18,326.249,1.53855,0.99362,1.10388,1,1,0.995,0.58713,1.43539,0.92065,1.08364,0.00047589,0.00047589,0.00047589
19,341.936,1.53899,0.97361,1.07191,1,1,0.995,0.60216,1.43138,0.95233,1.11561,0.000473024,0.000473024,0.000473024
20,357.798,1.45679,0.924,1.04388,1,1,0.995,0.60414,1.35565,0.9029,1.05445,0.000470007,0.000470007,0.000470007
21,373.525,1.47667,0.89875,1.03695,1,1,0.995,0.54856,1.36808,0.84056,1.04307,0.000466841,0.000466841,0.000466841
22,390.911,1.45776,0.91708,1.02712,1,1,0.995,0.61965,1.34364,0.90215,1.03259,0.000463528,0.000463528,0.000463528
23,408.548,1.45788,0.87652,1.04133,1,1,0.995,0.62857,1.49165,0.9213,1.16012,0.000460071,0.000460071,0.000460071
