epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.685,1.04121,1.95013,2.76385,1.02538,0,0.06111,0.75342,0.58808,0.3251,0.055,0.67808,0.18373,0.06003,1.11971,8.94498,2.46336,0.94962,0,4e-05,4e-05,0.09604
2,57.5557,0.87734,1.22558,1.83612,0.89933,0,0.537,0.79452,0.75737,0.3603,0.03556,0.43836,0.03784,0.00991,1.15714,84.5117,2.21007,0.96658,0,8.99945e-05,8.99945e-05,0.09109
3,88.8967,0.85317,1.25382,1.33956,0.92316,0,0.76927,0.82212,0.83036,0.46622,0.18835,0.31507,0.13542,0.03796,0.95442,103.596,2.15527,0.91994,0,0.000139966,0.000139966,0.08614
4,119.59,0.81897,1.03293,1.08761,0.92102,0,0.07833,0.96575,0.86918,0.52586,0.05333,0.65753,0.23035,0.06833,1.00112,80.8265,2.27982,0.9201,0,0.000189896,0.000189896,0.0811899
5,149.874,0.75994,0.90313,0.92931,0.91116,0,0.08056,0.99315,0.89598,0.58312,0.05722,0.70548,0.424,0.16479,0.85473,43.9768,2.45587,0.91244,0,0.000239766,0.000239766,0.0762398
6,180.689,0.80319,1.03799,0.94083,0.93221,0,0.08056,0.99315,0.91335,0.62832,0.04944,0.60959,0.42899,0.1969,0.82593,24.5377,2.56709,0.89629,0,0.000289557,0.000289557,0.0712896
7,212.053,0.78054,1.01271,0.90712,0.91451,0,0.08056,0.99315,0.94176,0.72011,0.04556,0.56164,0.23816,0.08762,0.76478,11.6268,2.59109,0.8712,0,0.000339253,0.000339253,0.0663393
8,242.957,0.7669,0.97139,0.80142,0.92089,0,0.08056,0.99315,0.93716,0.72158,0.05833,0.71918,0.47346,0.20116,0.75976,6.31134,2.57202,0.87359,0,0.000388834,0.000388834,0.0613888
9,275.057,0.75723,0.90783,0.79454,0.9085,0,0.08056,0.99315,0.92314,0.71397,0.07778,0.9589,0.86215,0.50824,0.80196,2.70277,2.53451,0.88952,0,0.000438283,0.000438283,0.0564383
10,305.869,0.72683,0.881,0.73512,0.90139,0,0.08056,0.99315,0.93549,0.73356,0.07944,0.97945,0.9121,0.58225,0.81495,2.36782,2.41569,0.88843,0,0.00048758,0.00048758,0.0514876
